Problem ID, Objective, Elapsed Time
init_ppms_1,-248443.1,0.88
init_ppms_10,-252869.8,0.88
init_ppms_2,-256087.4,0.89
init_ppms_3,-261962.6,0.91
init_ppms_4,-245182.7,1.28
init_ppms_5,-240617.6,0.89
init_ppms_6,-253000.1,0.88
init_ppms_7,-258211.8,0.88
init_ppms_8,-247624.9,0.89
init_ppms_9,-248482.6,0.86
updated_ppms_1,-375028.2,0.69
updated_ppms_10,-381442.5,0.66
updated_ppms_2,-385720.4,0.86
updated_ppms_3,-395423,0.86
updated_ppms_4,-376809.3,0.69
updated_ppms_5,-362360.8,0.88
updated_ppms_6,-385453.4,0.86
updated_ppms_7,-397239.6,0.67
updated_ppms_8,-382029.9,0.86
updated_ppms_9,-376679.9,0.69
