Problem ID, Objective, Elapsed Time
init_pppq_1,-221324.3,0.89
init_pppq_10,-213922.6,1.59
init_pppq_2,-221194.9,0.70
init_pppq_3,-219157.6,1.55
init_pppq_4,-211483,2.11
init_pppq_5,-225662.1,0.89
init_pppq_6,-221781.3,0.88
init_pppq_7,-218792,0.89
init_pppq_8,-214739.7,1.36
init_pppq_9,-220443.3,0.89
updated_pppq_1,-555205.8,1.06
updated_pppq_10,-531322.6,0.69
updated_pppq_2,-553709.2,0.67
updated_pppq_3,-550743.5,0.88
updated_pppq_4,-555036,0.86
updated_pppq_5,-581724.2,0.67
updated_pppq_6,-579906.6,0.89
updated_pppq_7,-552676.3,0.86
updated_pppq_8,-557848.6,0.67
updated_pppq_9,-538651.5,0.67
