Problem ID, Objective, Elapsed Time
init_ppps_1,-247419.1,0.91
init_ppps_10,-246942.8,0.86
init_ppps_2,-244306.9,1.72
init_ppps_3,-235819.7,0.69
init_ppps_4,-253673.8,0.88
init_ppps_5,-244485.8,0.69
init_ppps_6,-256146,1.06
init_ppps_7,-239446.3,0.89
init_ppps_8,-237880.9,0.89
init_ppps_9,-257297.9,1.06
updated_ppps_1,-559235,0.88
updated_ppps_10,-565446.5,1.22
updated_ppps_2,-573194.3,0.86
updated_ppps_3,-556981,0.67
updated_ppps_4,-583150,0.67
updated_ppps_5,-553319.6,1.73
updated_ppps_6,-601889.7,0.67
updated_ppps_7,-551104.5,0.67
updated_ppps_8,-555939,0.67
updated_ppps_9,-573997.6,0.67
