Problem ID, Objective, Elapsed Time
init_mmps_1,-8096.276,0.03
init_mmps_10,-7530.805,0.05
init_mmps_2,-7191.755,0.09
init_mmps_3,-7016.212,0.22
init_mmps_4,-7755.917,0.06
init_mmps_5,-7850.085,0.05
init_mmps_6,-6854.054,0.06
init_mmps_7,-7163.211,0.06
init_mmps_8,-7440.831,0.03
init_mmps_9,-7712.416,0.06
updated_mmps_1,-21731.89,0.06
updated_mmps_10,-21653.89,0.05
updated_mmps_2,-18914.78,0.05
updated_mmps_3,-20282.24,0.05
updated_mmps_4,-20554.23,0.08
updated_mmps_5,-21281.26,0.08
updated_mmps_6,-18134.46,0.05
updated_mmps_7,-19877.12,0.06
updated_mmps_8,-19515.11,0.05
updated_mmps_9,-20651.21,0.05
