Problem ID, Objective, Elapsed Time
init_mpms_1,-26089.2,0.05
init_mpms_10,-26359.61,0.05
init_mpms_2,-27651.54,0.05
init_mpms_3,-28566.68,0.05
init_mpms_4,-26581.06,0.05
init_mpms_5,-26890.07,0.05
init_mpms_6,-27671.13,0.05
init_mpms_7,-26806.11,0.03
init_mpms_8,-26547.55,0.05
init_mpms_9,-26400.07,0.05
updated_mpms_1,-39711.49,0.03
updated_mpms_10,-40796.01,0.05
updated_mpms_2,-43611.49,0.05
updated_mpms_3,-44229.65,0.05
updated_mpms_4,-41824.55,0.05
updated_mpms_5,-43343.03,0.05
updated_mpms_6,-42038.17,0.03
updated_mpms_7,-41896.14,0.05
updated_mpms_8,-42951.56,0.03
updated_mpms_9,-40566.69,0.05
