Problem ID, Objective, Elapsed Time
init_pmmq_1,2133.338,0.36
init_pmmq_10,5756.245,0.25
init_pmmq_2,3336.186,0.92
init_pmmq_3,4613.835,0.66
init_pmmq_4,3858.893,0.19
init_pmmq_5,2723.646,0.23
init_pmmq_6,2657.619,0.20
init_pmmq_7,5440.73,0.52
init_pmmq_8,6324.679,0.30
init_pmmq_9,1365.3,1.61
updated_pmmq_1,-20163.04,0.25
updated_pmmq_10,-14140.62,0.31
updated_pmmq_2,-16127.28,0.22
updated_pmmq_3,-15793.04,0.22
updated_pmmq_4,-15977.33,0.28
updated_pmmq_5,-19067.63,0.22
updated_pmmq_6,-17937.1,0.25
updated_pmmq_7,-14062.89,0.20
updated_pmmq_8,-13537.82,0.64
updated_pmmq_9,-19930.45,0.22
