Problem ID, Objective, Elapsed Time
init_pmms_1,-31295.65,0.25
init_pmms_10,-30574.67,0.22
init_pmms_2,-31869.92,0.22
init_pmms_3,-31978.24,0.20
init_pmms_4,-30698.51,0.20
init_pmms_5,-35107.92,0.20
init_pmms_6,-31521.01,0.20
init_pmms_7,-28945.45,0.22
init_pmms_8,-32756.22,0.19
init_pmms_9,-31462.77,0.20
updated_pmms_1,-52569.37,0.25
updated_pmms_10,-50954.29,0.28
updated_pmms_2,-51959,0.28
updated_pmms_3,-52978.57,0.30
updated_pmms_4,-52424.39,0.27
updated_pmms_5,-56201.35,0.22
updated_pmms_6,-52043.7,0.28
updated_pmms_7,-49636.38,0.28
updated_pmms_8,-52278.69,0.39
updated_pmms_9,-52875.2,0.28
