Problem ID, Objective, Elapsed Time
init_pmps_1,-80917.13,0.77
init_pmps_10,-78568.34,1.02
init_pmps_2,-77680.82,0.83
init_pmps_3,-80881.02,0.94
init_pmps_4,-83835.62,1.02
init_pmps_5,-78147.76,1.17
init_pmps_6,-78959.21,0.81
init_pmps_7,-75582.1,0.95
init_pmps_8,-74958.14,1.20
init_pmps_9,-75335.97,0.97
updated_pmps_1,-202144.3,0.81
updated_pmps_10,-198278.4,0.81
updated_pmps_2,-197968.6,0.81
updated_pmps_3,-197411,0.70
updated_pmps_4,-205532.1,0.83
updated_pmps_5,-200923.2,0.81
updated_pmps_6,-199003.9,0.81
updated_pmps_7,-185578,0.72
updated_pmps_8,-179409.1,0.83
updated_pmps_9,-181705.4,1.13
