Problem ID, Objective, Elapsed Time
init_ppms_1,-248715.9,0.86
init_ppms_10,-251042.9,1.06
init_ppms_2,-257146.8,0.88
init_ppms_3,-255134.9,0.89
init_ppms_4,-252674,0.88
init_ppms_5,-256037.5,0.88
init_ppms_6,-249971.5,0.88
init_ppms_7,-250041.2,0.75
init_ppms_8,-248576.5,0.89
init_ppms_9,-240786.9,1.08
updated_ppms_1,-382222.9,0.67
updated_ppms_10,-386385.6,0.67
updated_ppms_2,-391895.8,0.67
updated_ppms_3,-383347.5,0.88
updated_ppms_4,-383312.5,0.69
updated_ppms_5,-385681.5,0.67
updated_ppms_6,-378024,0.67
updated_ppms_7,-377729.4,0.67
updated_ppms_8,-379474.5,0.69
updated_ppms_9,-363698.5,0.67
