problem_name,objective_func,best_find_time,elapsed_time
both_1,0.7736905706255794,76.139,137.575
both_2,0.7517999324504072,321.306,382.867
both_3,0.8994690924309213,60.905,124.81
both_4,0.7662752021464821,75.061,138.294
both_5,0.8600930457404082,276.245,339.134
exp_1,4.256203232722185e-07,594.925,600.16
exp_2,7.728705753136092e-06,598.3,600.628
exp_3,3.941514822348461e-09,598.707,601.066
exp_4,2.2204914547218994e-06,595.722,600.91
exp_5,0.01418461577240067,578.832,601.144
step_1,0.9031173450288087,23.781,86.998
step_2,0.8848764728722155,75.03,137.248
step_3,0.9802818019921086,38.311,101.31
step_4,0.9124026608698976,159.544,222.433
step_5,0.9143932099918423,235.307,298.478
