problem_name,objective_func,elapsed_time
both_1,0.7726116108382232,0.312
both_2,0.7506653533762782,0.125
both_3,0.8971705691678883,0.125
both_4,0.7654230901334239,0.125
both_5,0.8591084272909021,0.125
exp_1,4.150151507927765e-07,0.093
exp_2,7.506464402281585e-06,0.094
exp_3,3.896244901706872e-09,0.094
exp_4,2.1915369026900777e-06,0.094
exp_5,0.013911098177548795,0.093
step_1,0.9029428011142643,0.125
step_2,0.8846913876571497,0.109
step_3,0.9802788556937213,0.11
step_4,0.9121660637177601,0.125
step_5,0.914140453528816,0.125
