problem_name,objective_func,best_find_time,elapsed_time
both_1,0.7737797988215653,20.296,50.405
both_2,0.7511586637319686,23.046,49.983
both_3,0.8989710036811356,28.967,54.467
both_4,0.7660544861789047,12.64,37.046
both_5,0.8597658191912019,16.687,42.171
exp_1,4.234690473190867e-07,180.59,198.699
exp_2,7.6955939077517e-06,288.291,301.01
exp_3,3.918952970082191e-09,100.545,118.763
exp_4,2.2107668482439557e-06,173.075,191.231
exp_5,0.014172820311210125,168.622,186.934
step_1,0.9029428011142645,13.562,37.609
step_2,0.8848764728722155,26.312,49.108
step_3,0.9802818019921077,12.36,34.281
step_4,0.912402660869897,20.75,43.374
step_5,0.9141404535288165,22.281,45.374
