problem_name,objective_func,best_find_time,elapsed_time
LB_1,0.5635197309921123,21.374,52.764
LB_10,0.24534527090344355,4.344,36.249
LB_11,0.6366355031679144,26.077,57.591
LB_12,0.7655991406129685,21.218,52.545
LB_13,0.4915755263584813,74.185,105.403
LB_14,0.2184256599230699,22.984,54.061
LB_15,0.23744043116323954,8.297,39.53
LB_16,0.13313106374266806,55.264,87.122
LB_17,0.5877060816365246,24.014,55.373
LB_18,0.3389371995633294,21.389,52.67
LB_19,0.5850851217253136,51.419,82.762
LB_2,0.5897016446759042,6.984,38.077
LB_20,0.3081032819250122,51.216,83.075
LB_3,0.49594602325625053,4.187,35.561
LB_4,0.762612423811425,27.39,58.639
LB_5,0.5755207585180317,31.327,62.794
LB_6,0.5684145866351469,9.062,40.077
LB_7,0.41250551568486143,42.373,73.575
LB_8,0.409613654603039,62.013,93.715
LB_9,0.3895304552599192,5.109,36.843
LE_1,1.0874763067776975e-18,176.508,208.195
LE_10,3.3136132910258265e-16,27.015,58.733
LE_11,3.0910300198709758e-12,233.444,264.49
LE_12,6.005446663799936e-18,248.99,280.677
LE_13,8.804795999538165e-20,365.751,397.594
LE_14,4.250556274240943e-19,19.139,50.232
LE_15,4.3460159086396467e-16,169.54,201.273
LE_16,6.361417350344471e-14,101.246,133.073
LE_17,1.0568317643674355e-28,75.2,106.964
LE_18,3.16221770813069e-11,279.724,311.41
LE_19,2.952500644051449e-13,14.703,46.42
LE_2,4.0547114385092353e-10,163.916,195.696
LE_20,7.678001161443925e-11,238.053,269.427
LE_3,6.900947487571292e-27,237.334,269.099
LE_4,4.900717571648929e-26,294.863,326.753
LE_5,4.089481108565489e-08,222.632,253.771
LE_6,2.3844815534333705e-24,84.013,115.121
LE_7,1.137266483696475e-09,74.372,105.511
LE_8,1.4398751431723805e-07,166.838,198.102
LE_9,4.839180214951714e-27,69.451,100.575
LS_1,0.765506537533357,20.624,52.419
LS_10,0.47498101202811527,19.265,51.061
LS_11,0.5386020886327986,0.453,31.655
LS_12,0.5178496901698743,11.077,42.201
LS_13,0.4987488987728476,23.796,55.154
LS_14,0.7844307161072611,8.781,40.498
LS_15,0.5308534630784857,28.609,59.639
LS_16,0.847800258954409,18.796,50.388
LS_17,0.7793532119729765,35.499,66.545
LS_18,0.7423131678806862,31.124,62.139
LS_19,0.774121307721399,36.296,68.076
LS_2,0.370932423320042,16.171,47.81
LS_20,0.6233378026201812,5.015,36.577
LS_3,0.749737395946769,21.468,53.17
LS_4,0.5710656967465353,43.436,74.529
LS_5,0.7213957540190707,20.859,51.983
LS_6,0.5578837440232187,43.889,75.778
LS_7,0.683607064921596,20.796,51.841
LS_8,0.5754315457124984,0.437,32.202
LS_9,0.3769138801314691,9.64,40.686
MB_1,0.2446374757462158,1.063,32.312
MB_10,0.26224078027309267,2.578,33.671
MB_11,0.5795009894214946,1.016,32.093
MB_12,0.36330756062706104,13.953,45.233
MB_13,0.4311743220931314,1.343,32.498
MB_14,0.48815131620822216,37.764,69.029
MB_15,0.6289141955108062,1.328,32.437
MB_16,0.724043562923385,2.578,33.623
MB_17,0.6585246682129139,4.375,35.499
MB_18,0.37127195721902806,2.172,33.467
MB_19,0.5421888029755687,10.344,41.608
MB_2,0.5674560463164777,2.313,33.436
MB_20,0.40018533662925826,3.203,34.483
MB_3,0.6157449671635044,29.234,60.326
MB_4,0.6332554697320167,2.844,33.983
MB_5,0.595127464686113,22.062,53.155
MB_6,0.5397063243587058,1.921,33.108
MB_7,0.7277579545696377,4.749,36.061
MB_8,0.342302533336084,19.906,51.077
MB_9,0.44547757097217294,14.906,45.936
ME_1,1.935206831883065e-05,17.78,48.904
ME_10,0.00042956013085017667,26.577,57.638
ME_11,0.0014721508941753871,15.733,46.779
ME_12,2.6041268529163233e-09,21.577,52.686
ME_13,1.3250227966181882e-11,23.311,54.357
ME_14,0.0011630922692258629,15.687,46.873
ME_15,6.7216061354085786e-15,28.702,59.81
ME_16,7.255279099371876e-07,26.343,57.451
ME_17,0.00510726855627155,22.796,53.998
ME_18,2.0820887660472045e-13,23.718,54.748
ME_19,8.088084691034437e-05,16.358,47.388
ME_2,1.5432901483180905e-17,22.718,53.842
ME_20,2.0004015766094546e-14,23.093,54.139
ME_3,1.9155486709776725e-14,28.639,59.841
ME_4,1.194279336571879e-12,24.78,55.92
ME_5,1.1503286716353999e-08,17.296,48.373
ME_6,6.165874904661935e-15,23.452,54.592
