problem_name,objective_func,best_find_time,elapsed_time
LB_1,0.5635197309921127,11.53,29.874
LB_10,0.24568669667095938,21.781,40.655
LB_11,0.6366355031679144,1.687,21.859
LB_12,0.764787774769164,16.39,33.983
LB_13,0.4914375637880884,21.812,40.092
LB_14,0.2176474334713816,28.28,47.373
LB_15,0.23855419094254954,37.655,58.342
LB_16,0.13333580106463588,70.122,92.168
LB_17,0.5877060816365248,5.531,25.53
LB_18,0.33893719956332974,18.187,37.811
LB_19,0.5862410611206657,18.077,37.577
LB_2,0.5897016446759044,5.062,23.452
LB_20,0.31015261991094484,1.016,19.468
LB_3,0.4967907466068331,3.828,24.124
LB_4,0.7657564434694074,14.827,34.404
LB_5,0.5759063918749824,7.546,28.608
LB_6,0.5679529594965815,18.984,37.639
LB_7,0.4075745396356201,1.516,21.624
LB_8,0.41220243144334134,20.561,38.951
LB_9,0.3895304552599193,15.015,32.233
LE_1,1.1530677666284281e-18,102.871,117.136
LE_10,3.590836507081122e-16,217.148,231.382
LE_11,3.1701827883412266e-12,153.088,167.4
LE_12,6.116646415732484e-18,79.872,94.199
LE_13,8.987021913358591e-20,240.1,254.396
LE_14,4.614085761554524e-19,150.276,164.447
LE_15,4.466920180880946e-16,136.792,151.026
LE_16,6.591089860958846e-14,177.431,191.696
LE_17,1.1631018834152565e-28,262.303,276.505
LE_18,3.1960475589287315e-11,157.572,171.868
LE_19,3.2794870967631603e-13,154.384,168.806
LE_2,4.1023123831902877e-10,140.651,154.994
LE_20,7.801177532719869e-11,152.275,166.556
LE_3,7.45168997890261e-27,213.961,228.085
LE_4,5.247913484656566e-26,218.726,232.975
LE_5,4.154530966655378e-08,203.883,218.179
LE_6,2.482211379405993e-24,146.9,161.29
LE_7,1.165054308137411e-09,142.682,156.978
LE_8,1.4578520949633317e-07,173.4,187.805
LE_9,5.233812241987938e-27,72.575,86.793
LS_1,0.7672334785158728,11.344,28.984
LS_10,0.4747275739737645,91.231,112.481
LS_11,0.5403144237202572,12.374,31.014
LS_12,0.5178496901698744,7.547,26.843
LS_13,0.4986831874049656,28.656,48.53
LS_14,0.7844307161072613,10.546,28.483
LS_15,0.5253272050789914,5.625,23.734
LS_16,0.8492674355475703,2.437,19.608
LS_17,0.7789552900175529,20.515,38.327
LS_18,0.7423131678806865,42.467,61.17
LS_19,0.7741213077213992,1.859,18.937
LS_2,0.37093242332004195,6.391,24.031
LS_20,0.6233378026201818,3.406,20.593
LS_3,0.7478580721983132,32.608,50.701
LS_4,0.5710656967465354,20.234,39.186
LS_5,0.7225932857834685,33.484,53.405
LS_6,0.5574937575795873,38.342,57.279
LS_7,0.6837946476946658,22.546,42.483
LS_8,0.5756993638766835,9.375,28.655
LS_9,0.37742688453100526,36.608,56.716
MB_1,0.2446374757462158,22.421,34.967
MB_10,0.26559572917082264,10.469,22.343
MB_11,0.5795009894214949,13.922,24.843
MB_12,0.36330756062706104,1.343,12.734
MB_13,0.4311743220931314,2.031,13.656
MB_14,0.48587848486975227,1.954,11.313
MB_15,0.6289141955108062,6.437,16.734
MB_16,0.7211359778256068,0.578,11.562
MB_17,0.6585246682129138,1.89,11.999
MB_18,0.37015678053757944,3.141,15.14
MB_19,0.5402208517807382,4.687,14.249
MB_2,0.5646298508775471,2.531,14.234
MB_20,0.40018533662925804,1.078,13.14
MB_3,0.614543633312351,0.64,11.968
MB_4,0.6332554697320165,0.188,10.75
MB_5,0.5954456556027355,6.437,18.421
MB_6,0.5397063243587059,2.016,11.344
MB_7,0.7277579545696375,1.454,13.016
MB_8,0.3424113968312843,0.125,10.405
MB_9,0.4454775709721728,4.531,15.812
ME_1,1.935206831883065e-05,19.921,27.264
ME_10,0.00042956013085017667,9.453,16.765
ME_11,0.0014721476567315774,13.937,21.281
ME_12,2.6023283018831275e-09,9.562,16.89
ME_13,1.3250227966181882e-11,13.265,20.592
ME_14,0.0011630922692258629,11.093,18.437
ME_15,6.7216061354085786e-15,24.561,31.889
ME_16,7.255279099371876e-07,20.655,27.983
ME_17,0.00510726855627155,10.062,17.374
ME_18,2.0820887660472045e-13,16.453,23.749
ME_19,8.088084691034437e-05,14.703,22.062
ME_2,1.5432901483180905e-17,12.562,19.89
ME_20,2.000152632128407e-14,18.874,26.186
ME_3,1.9155486709776725e-14,9.844,17.203
ME_4,1.194279336571879e-12,12.656,19.984
ME_5,1.1503286716353999e-08,16.812,24.155
ME_6,6.165874904661935e-15,24.374,31.671
ME_7,0.00021380574602683958,14.218,21.577
ME_8,1.1770473030815532e-14,17.749,25.046
ME_9,0.00043966125227917356,11.453,18.828
MS_1,0.8287666444034084,5.0,14.609
MS_10,0.4737535597902632,4.703,15.109
MS_11,0.7075398311989561,1.859,12.781
MS_12,0.7263039249149263,3.187,13.624
MS_13,0.6875609222254616,10.281,20.859
MS_14,0.5960622137408899,3.297,13.968
MS_15,0.6255953298289564,5.343,16.14
MS_16,0.7868458481270677,3.391,13.672
MS_17,0.8255488991635056,6.797,16.328
MS_18,0.5538822642354937,1.328,11.687
MS_19,0.607840603814916,2.187,13.906
MS_2,0.7813493793337991,10.625,20.203
MS_20,0.7457375138404349,5.109,16.468
MS_3,0.45880428897907494,1.047,11.375
MS_4,0.5454263865719263,12.484,22.999
MS_5,0.7105133502423493,0.219,12.125
MS_6,0.8165299576014852,3.109,13.125
MS_7,0.8886356193386414,6.531,16.562
MS_8,0.6566816071080644,7.452,16.921
MS_9,0.6366005274689428,1.781,12.046
SB_1,0.49405569894809853,0.016,5.609
SB_10,0.48741680658632974,0.282,6.797
SB_11,0.41893862063448983,0.0,6.75
SB_12,0.48734800603922646,0,5.906
SB_13,0.4818690781020142,0,7.328
SB_14,0.4543792661134585,0.343,6.968
SB_15,0.44837637560523347,0,5.828
SB_16,0.7152872867043486,0.656,4.609
SB_17,0.5532712271675648,0,5.875
SB_18,0.35629819846103594,1.344,9.203
SB_19,0.3908147568556018,0.297,6.531
SB_2,0.4281530004219767,1.062,7.906
SB_20,0.5202131669842587,0,6.562
SB_3,0.33081196303225424,0.422,6.953
SB_4,0.4152494875525984,0.078,6.796
SB_5,0.592614917156829,0.109,6.312
SB_6,0.43644947471797413,0.016,6.563
SB_7,0.43812608539496634,0.171,5.999
SB_8,0.33670301699619715,0.063,5.797
SB_9,0.474091193490657,0.0,6.343
SE_1,5.993419548929329e-07,0.032,3.453
SE_10,1.1243789551649234e-08,0.329,3.719
SE_11,0.31065126373232643,0.047,3.453
SE_12,0.0003006252444273611,0.062,3.468
SE_13,0.0004448567755094607,0.016,3.422
SE_14,4.2931628191603964e-06,0.031,3.437
SE_15,3.2731697819272535e-09,0.047,3.453
SE_16,1.4023203523838066e-05,0.171,3.562
SE_17,0.0002736658508133535,0.171,3.562
SE_18,3.6356077324574324e-05,0.25,3.64
SE_19,4.934030162140542e-06,0.188,3.578
SE_2,0.20942875499886038,0.063,3.438
SE_20,0.000963522736776265,0.047,3.453
SE_3,3.4602013346442506e-11,0.187,3.593
SE_4,0.00022210078213386232,0.079,3.485
SE_5,0.0018221396201544627,0.109,3.515
SE_6,1.412170832032305e-07,0.219,3.609
SE_7,0.0694787699169069,0.141,3.547
SE_8,1.3664873250361927e-06,0.094,3.484
SE_9,4.1421339229226336e-05,0.203,3.625
SS_1,0.6862612115093585,0.016,4.656
SS_10,0.622626207445207,0.188,6.656
SS_11,0.7169291427821582,0.063,5.531
SS_12,0.5830418946241736,0.063,5.406
SS_13,0.7208763947373152,2.516,8.031
SS_14,0.7405304755056641,0.0,4.735
SS_15,0.5102756731660848,0.046,6.906
SS_16,0.5319785388883191,0.125,5.468
SS_17,0.5468045755039951,2.875,8.625
SS_18,0.5856090546954922,0.015,5.718
SS_19,0.6613528957737007,0.078,4.859
SS_2,0.6964973625373844,0.375,6.25
SS_20,0.40079028804818734,0.094,5.359
SS_3,0.788516149300125,0.188,4.594
SS_4,0.7518676838272054,0.141,5.312
SS_5,0.5277229900836052,0.375,6.797
SS_6,0.7874032564534267,0,4.515
SS_7,0.7402510037430936,0.032,5.766
SS_8,0.5976388877338968,0.031,4.687
SS_9,0.6081300448560778,0.109,6.484
