Problem,Objective Function,Solution Time,Best Bound
mmmm-1,978.6569,1199.81,1136.0695
mmmm-10,1103.069,1199.86,1335.9526
mmmm-2,1085.58,1199.88,1383.2182
mmmm-3,881.9958,1199.84,1120.4524
mmmm-4,1003.508,1199.84,1236.0244
mmmm-5,871.3252,1199.84,1105.9763
mmmm-6,1038.744,1199.84,1354.1044
mmmm-7,966.0049,1199.86,1227.0691
mmmm-8,1007.496,1199.86,1385.2319
mmmm-9,875.4409,1199.84,1101.4019
mmpm-1,908.4926,1199.88,1170.3320
mmpm-10,1098.54,1199.86,1351.7753
mmpm-2,901.5374,1199.86,1244.8135
mmpm-3,887.1379,1199.83,1078.9170
mmpm-4,1095.229,1199.84,1520.9114
mmpm-5,866.0277,1199.83,1106.4886
mmpm-6,966.4334,1199.88,1161.4483
mmpm-7,775.3732,1199.88,1157.0996
mmpm-8,838.3139,1199.83,1101.7875
mmpm-9,845.869,1199.86,1084.8185
mpmm-1,1216.585,,1219.6826
mpmm-10,1178.599,0.14,
mpmm-2,1048.518,865.87,1048.6389
mpmm-3,1089.863,89.05,1095.3254
mpmm-4,949.3929,94.24,976.0285
mpmm-5,1186.652,1199.88,1193.6199
mpmm-6,1115.287,904.38,1115.4172
mpmm-7,1092.961,70.55,1095.2409
mpmm-8,1030.826,1199.84,1118.7852
mpmm-9,1008.015,1199.84,1054.1438
mppm-1,1096.4,1199.86,1107.0611
mppm-10,1088.662,818.73,1088.7204
mppm-2,890.9176,624.91,891.3079
mppm-3,1217.762,1199.87,1229.4293
mppm-4,1265.357,85.53,1281.1517
mppm-5,1221.469,1199.86,1324.8999
mppm-6,1058.613,1199.83,1060.8796
mppm-7,1116.718,1199.86,1125.0342
mppm-8,882.0926,39.56,887.8850
mppm-9,1396.952,85.02,1397.6371
