Problem,Objective Function,Solution Time,Best Bound
mmmp-1,808.4316,1199.83,957.4295
mmmp-10,1032.772,1199.89,1366.8753
mmmp-2,1020.835,1199.84,1264.8673
mmmp-3,1052.668,1199.81,1234.9936
mmmp-4,822.9069,1199.86,1024.5726
mmmp-5,1038.095,1199.84,1165.7150
mmmp-6,871.1455,1199.84,1119.3012
mmmp-7,1063.261,1199.86,1440.5012
mmmp-8,825.7396,1199.86,932.2527
mmmp-9,942.9182,1199.84,1115.4922
mmpp-1,947.5742,1199.86,1173.6336
mmpp-10,959.7948,1199.84,1311.2887
mmpp-2,808.6764,1199.84,1000.1688
mmpp-3,934.0165,1199.84,1171.0050
mmpp-4,1050.179,1199.86,1236.4572
mmpp-5,879.9738,1199.86,1145.9293
mmpp-6,633.9615,1199.88,789.8953
mmpp-7,870.9506,1199.88,1023.9958
mmpp-8,1030.445,1199.84,1355.4315
mmpp-9,728.9918,1199.84,905.7039
mpmp-1,1225.698,1199.84,1230.1523
mpmp-10,1166.169,1199.86,1186.6714
mpmp-2,1351.579,40.47,1351.5790
mpmp-3,1231.894,257.11,1231.8938
mpmp-4,953.921,1199.86,990.0368
mpmp-5,1443.951,,1445.6765
mpmp-6,1242.359,1199.86,1267.9370
mpmp-7,1188.746,71.80,1189.9685
mpmp-8,1025.33,39.63,1029.8076
mpmp-9,1271.109,1199.84,1398.0323
mppp-1,1198.994,1199.88,1202.9246
mppp-10,1078.137,1199.86,1137.2706
mppp-2,1027.263,1199.84,1029.7080
mppp-3,1376.671,251.88,1376.6708
mppp-4,1121.04,1199.86,1187.6494
mppp-5,1113.258,65.61,1113.5760
mppp-6,1048.199,82.89,1048.5049
mppp-7,1105.027,454.51,1105.1549
mppp-8,1117.899,1199.84,1131.3190
mppp-9,1096.506,1199.84,1113.3416
