Problem,Objective Function,Solution Time,Best Bound
pmmm-1,1006.097,1192.61,4002.2622
pmmm-10,1426.401,1192.36,4041.3519
pmmm-2,783.3664,1192.38,3747.1933
pmmm-3,1616.906,1192.47,4182.9823
pmmm-4,689.9717,1192.84,4064.1434
pmmm-5,834.8751,1192.44,3851.2378
pmmm-6,897.1443,1192.47,3725.0112
pmmm-7,803.7644,1192.41,3789.2227
pmmm-8,908.9944,1192.51,4212.0622
pmmm-9,993.1546,1192.44,4007.7078
pmpm-1,1707.11,1192.63,4177.9692
pmpm-10,779.0131,1192.56,4217.9655
pmpm-2,814.5766,1192.69,3757.4910
pmpm-3,759.3873,1192.45,3461.4924
pmpm-4,1102.798,1192.45,3858.0647
pmpm-5,708.1658,1192.48,4055.8050
pmpm-6,1046.034,1192.56,3780.8386
pmpm-7,735.1303,1192.63,3975.7301
pmpm-8,1284.986,1192.35,4061.0626
pmpm-9,962.2483,1192.70,4364.4178
ppmm-1,702.5719,1192.58,4185.2957
ppmm-10,589.3771,1192.73,3647.9305
ppmm-2,582.4685,1192.44,3886.5094
ppmm-3,1190.22,1192.73,3997.6249
ppmm-4,679.2321,1192.56,3557.7401
ppmm-5,519.9661,1192.56,3958.8748
ppmm-6,968.3325,1192.45,3692.5936
ppmm-7,1979.629,1192.55,3889.6797
ppmm-8,1239.958,1192.61,4219.2823
ppmm-9,1869.194,1192.28,4051.8830
pppm-1,944.7735,1192.36,4061.2637
pppm-10,828.4423,1192.63,4189.3202
pppm-2,1611.352,1192.63,4166.2614
pppm-3,1110.315,1192.62,4170.9394
pppm-4,972.0718,1192.76,3859.1455
pppm-5,839.8456,1192.56,3956.9259
pppm-6,1174.695,1192.70,3373.3070
pppm-7,737.6768,1192.26,4375.2508
pppm-8,739.4937,1192.55,3745.4614
pppm-9,1835.843,1192.75,4271.1419
