Problem,Objective Function,Solution Time,Best Bound
pmmp-1,858.7321,1191.11,4239.9678
pmmp-10,981.2667,1192.70,4113.2745
pmmp-2,901.1641,1192.62,3984.9804
pmmp-3,726.9462,1192.67,3774.6406
pmmp-4,917.2483,1192.69,3602.3210
pmmp-5,972.5302,1192.69,4097.6462
pmmp-6,737.6903,1192.61,3721.3223
pmmp-7,891.0398,1192.61,3949.6422
pmmp-8,1293.77,1192.58,3590.0234
pmmp-9,1657.806,1192.50,4337.1130
pmpp-1,1215.388,1192.78,4170.7937
pmpp-10,799.9806,1192.73,3998.3672
pmpp-2,968.0016,1192.64,3898.2916
pmpp-3,1496.528,1192.72,3980.1257
pmpp-4,1834.171,1192.51,3750.2317
pmpp-5,1633.052,1193.19,4047.2892
pmpp-6,1054.441,1192.64,3708.3960
pmpp-7,840.8423,1192.47,3945.5308
pmpp-8,708.6776,1192.72,3969.0003
pmpp-9,1327.641,1192.50,3521.8561
ppmp-1,1868.039,1192.56,3763.0943
ppmp-10,1844.454,1192.50,3992.8165
ppmp-2,815.1623,1192.71,3574.9173
ppmp-3,2393.601,1192.61,4037.7639
ppmp-4,867.9687,1192.67,3652.6288
ppmp-5,2153.89,1192.50,3634.4610
ppmp-6,1964.906,1192.83,3987.4198
ppmp-7,1062.526,1192.65,3809.5278
ppmp-8,985.0529,1192.58,3928.7358
ppmp-9,894.229,1192.56,3920.2202
pppp-1,846.6254,1192.59,3741.1099
pppp-10,2778.121,1192.63,4021.0859
pppp-2,2047.371,1192.39,3825.0229
pppp-3,2124.985,1192.50,3884.9250
pppp-4,916.2418,1192.67,3609.4227
pppp-5,587.7309,1192.48,3575.4676
pppp-6,669.4571,1192.55,4072.1723
pppp-7,779.4063,1192.62,4074.4125
pppp-8,1571.818,1192.70,3846.4632
pppp-9,1061.746,1192.58,4322.3533
